CARNET,NOMBRES,CODPROF,CODEPTO,GENERO,FECHA_INGRESO,TIPO_SOCIO,NRO_SOCIO,ESTADO_CIVIL,TELEFONO,EMAIL,ZONA_RESIDENCIA
3557279,Cristian Tomas Cámara,5,4,F,2001-09-14,ACTIVO,SOC00001,SOLTERO,+34 986504908,pacosamper@example.com,VILLA
4626548,Susanita del Conesa,3,5,M,2005-05-16,ACTIVO,SOC00002,VIUDO,+34977662494,federicoabril@example.net,NORTE
2432800,Josué Arranz,1,9,F,2007-01-31,ACTIVO,SOC00003,CASADO,+34832 44 30 82,calatayudruperta@example.net,VILLA
3794053,Melania Barroso Iriarte,2,1,M,2016-04-11,JUBILADO,SOC00004,CASADO,+34879637338,ntejero@example.net,VILLA
4226439,Cebrián Maestre Montesinos,3,2,F,2021-09-20,ACTIVO,SOC00005,VIUDO,+34 828 396 966,danielatorrents@example.com,NORTE
3682163,Virginia Somoza-Pou,4,7,F,2011-08-07,JUBILADO,SOC00006,DIVORCIADO,+34 941 14 96 79,artemiorico@example.net,RURAL
2677404,Ángeles Arjona Quintero,6,4,F,2018-08-22,PASIVO,SOC00007,DIVORCIADO,+34827740744,nandoalsina@example.com,VILLA
3485935,Candelaria Roca Yáñez,1,2,M,2009-01-29,JUBILADO,SOC00008,DIVORCIADO,+34 920555787,echacon@example.org,RURAL
3021569,Rosa Ruano,3,3,M,2016-03-30,ACTIVO,SOC00009,SOLTERO,+34 946 600 269,jsamper@example.com,CENTRO
4234449,Luis Miguel Valbuena Moreno,2,2,F,2014-04-18,PASIVO,SOC00010,CASADO,+34975 679 906,vigilveronica@example.org,CENTRO
3971872,Carina del Múñiz,7,1,M,2012-06-03,PASIVO,SOC00011,SOLTERO,+34817 621 281,qgalvan@example.com,SUR
5493041,Hermenegildo Landa,9,4,M,2000-10-24,JUBILADO,SOC00012,DIVORCIADO,+34900710777,narcisomoliner@example.org,CENTRO
3023537,Jose Miguel del Arranz,1,2,F,2010-10-11,ACTIVO,SOC00013,VIUDO,+34 849985898,julio-cesarfabra@example.net,VILLA
2477276,Feliciano Requena Calleja,9,4,F,2007-04-20,JUBILADO,SOC00014,CASADO,+34 942084121,bastidaani@example.net,VILLA
4043252,Jonatan Hernandez Vidal,2,7,M,2004-12-12,ACTIVO,SOC00015,VIUDO,+34886 551 728,benigna45@example.org,NORTE
3363840,Poncio Egea Mayol,2,2,M,2002-08-24,PASIVO,SOC00016,DIVORCIADO,+34 828 610 060,jramos@example.org,VILLA
3343498,Vicente Arrieta Echevarría,9,1,M,2002-02-15,ACTIVO,SOC00017,VIUDO,+34 925 585 064,romanleocadio@example.org,SUR
2762036,Cintia Bueno Roig,6,1,M,2010-02-20,PASIVO,SOC00018,CASADO,+34827 97 55 43,anselmanino@example.com,SUR
4912136,Ileana Caballero Chaparro,4,8,M,2007-11-22,JUBILADO,SOC00019,VIUDO,+34 988004140,bernardita01@example.net,SUR
2186398,Salomón Rius-Arnal,1,5,M,2013-02-01,ACTIVO,SOC00020,VIUDO,+34846 974 515,nvicente@example.org,CENTRO
5758129,Dani Blázquez Zapata,1,4,M,2003-03-30,PASIVO,SOC00021,VIUDO,+34 922 666 694,salasasuncion@example.org,NORTE
4190378,Nélida Berta Martin Navarrete,3,5,F,2007-10-11,PASIVO,SOC00022,CASADO,+34 976 232 599,iharo@example.net,NORTE
4533623,María Vaquero-Vaquero,7,6,M,2020-07-25,ACTIVO,SOC00023,CASADO,+34 948 89 69 25,osvaldo71@example.net,NORTE
2629669,Jaime Cervantes Somoza,5,2,F,2000-03-22,ACTIVO,SOC00024,CASADO,+34872 66 78 92,purificacionalonso@example.org,CENTRO
4271158,Ramona Tur-Pi,1,2,M,2008-04-11,ACTIVO,SOC00025,SOLTERO,+34 885 08 73 19,iquintanilla@example.org,RURAL
5154766,Anna Folch Pascual,4,4,M,2019-01-21,JUBILADO,SOC00026,DIVORCIADO,+34 826735169,jose-luisnicolas@example.com,CENTRO
