CUENTA,CARNET,FAPERTURA,TIPO_CUENTA,ESTADO_CUENTA,SALDO_ACTUAL,PLAZO_MESES,TASA_INTERES,FECHA_CIERRE
1-104-21427-7,3557279,2022-11-07,APORTE,INACTIVA,19641.43,6,0.03,
5-101-15000-7,4626548,2018-12-15,APORTE,INACTIVA,21374.97,36,0.107,
9-108-53541-6,2432800,2014-04-15,AHORRO,CERRADA,33631.89,12,0.084,
1-102-27702-6,3794053,2022-11-19,APORTE,INACTIVA,38103.54,6,0.045,
9-105-42134-3,4226439,2002-12-13,APORTE,CERRADA,54375.5,24,0.035,
1-106-21483-7,3682163,2004-12-20,APORTE,INACTIVA,1692.61,12,0.074,
2-100-51347-8,2677404,2019-02-15,APORTE,CERRADA,87832.04,36,0.101,
2-100-22158-3,3485935,2003-04-12,APORTE,ACTIVA,94264.81,24,0.021,
3-100-48247-7,3021569,2000-12-07,AHORRO,INACTIVA,75495.52,24,0.04,
8-104-71511-1,4234449,2012-01-19,APORTE,CERRADA,73109.09,6,0.119,
5-105-78376-8,3971872,2023-11-03,AHORRO,ACTIVA,34583.62,6,0.012,
4-109-93723-9,5493041,2013-11-04,APORTE,INACTIVA,883.33,24,0.103,
6-100-62197-9,3023537,2016-10-28,AHORRO,ACTIVA,23933.3,6,0.056,
7-108-93670-8,2477276,2013-12-16,CRÉDITO,ACTIVA,20170.42,0,0.012,
9-106-59089-9,4043252,2006-11-18,APORTE,CERRADA,81168.55,0,0.107,
1-102-20827-8,3363840,2023-09-27,APORTE,INACTIVA,72188.08,0,0.085,
5-102-53896-6,3343498,2006-06-28,CRÉDITO,ACTIVA,67347.53,6,0.071,
9-106-19606-8,2762036,2001-08-08,CRÉDITO,ACTIVA,76833.48,24,0.109,
7-109-54054-1,4912136,2018-12-06,APORTE,ACTIVA,52913.91,6,0.085,
4-109-21554-6,2186398,2001-05-26,AHORRO,INACTIVA,82769.35,36,0.032,
1-105-40032-7,5758129,2012-04-28,CRÉDITO,INACTIVA,18575.43,12,0.058,
9-108-17828-5,4190378,2011-03-23,APORTE,ACTIVA,68337.12,36,0.072,
8-103-81325-8,4533623,2005-12-29,AHORRO,CERRADA,30199.66,0,0.063,
3-102-80304-8,2629669,2012-05-14,AHORRO,ACTIVA,43694.02,0,0.108,
7-107-15784-1,4271158,2006-02-26,CRÉDITO,ACTIVA,43680.58,6,0.073,
3-107-35320-1,5154766,2020-07-28,CRÉDITO,CERRADA,743.38,36,0.076,
5-105-99779-5,5333618,2003-06-10,APORTE,ACTIVA,15864.86,36,0.017,
7-106-10046-2,3919596,2012-03-03,APORTE,CERRADA,42061.85,12,0.118,
2-108-56538-2,3041063,2000-03-10,APORTE,ACTIVA,3765.31,0,0.038,
2-106-11122-9,3256906,2008-04-06,APORTE,CERRADA,3282.77,6,0.083,
7-101-81641-7,4219535,2019-11-21,APORTE,INACTIVA,38664.37,24,0.059,
1-105-44411-8,3423144,2023-11-08,AHORRO,ACTIVA,31267.06,6,0.115,
